"scientificName","minBodyLengthMM","maxBodyLengthMM","meanBodyLengthMM","wingType","identificationReferences","sizeRef","wingRef","diapause","taxonRank","kingdom","phylum","class","order","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet"
"Agonum octopunctatum",7.5,8.5,,"macropterous","Liebherr 1994","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","octopunctatum",""
"Agonum punctiforme",7.5,8,,,"Liebherr 1994","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","punctiforme",""
"Amara neoscotica",7.6,9,,,"Hieke 2003","Hieke 2003",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Amara","neoscotica",""
"Brachinus cyanochroaticus",7.7,12.4,,,"Erwin 1970a","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachininae","Brachinini",,"Brachinus","Neobrachinus","cyanochroaticus",""
"Amara latior",7.8,10.8,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Bradytus","latior",""
"Anisodactylus caenus",7.8,8.5,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Aplocentrus","caenus",""
"Agonum melanarium",8,10,,,"Liebherr 1994","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","melanarium",""
"Calathus advena",8,11.8,,,"Lindroth 1969","Lindroth 1969",,"irregular","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Sphodrini",,"Calathus","Acalathus","advena",""
"Calathus opaculus",8,11,,"macropterous","Ball and Negre 1972","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Sphodrini",,"Calathus","Neocalathus","opaculus",""
"Calathus gregarius",8.2,10.8,,"subapterous","Ball and Negre 1972","Lindroth 1969","Lindroth 1969","hibernation at more than one stage","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Sphodrini",,"Calathus","Neocalathus","gregarius",""
"Agonum trigeminum",8.3,10.3,,"macropterous","Liebherr 1994",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Olisares","trigeminum",""
"Anisodactylus sanctaecrucis",8.3,10.5,,,"Noonan 2001","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Anadaptus","sanctaecrucis",""
"Pterostichus amethystinus",8.7,14.5,,,"Lindroth 1969","Lindroth 1969",,"multiple stages hibernate","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Hypherpes","amethystinus",""
"Amara insignis",8.8,12.5,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Bradytus","insignis",""
"Anisodactylus rusticus",8.8,11,,"macropterous","Noonan 1973","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Anisodactylus","Gynandrotarsus","rusticus",""
"Amara hyperborea",9,13,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Curtonotus","hyperborea",""
"Amara obesa",9,12.5,,"dimorphic; wings full or reduced","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Percosia","obesa",""
